"Species_code","Scientific_name","Pref_com_name","Other_com_name","Pref_com_is","Sort_order","TSN","Accepted_TSN","Category","Family","Taxon_type","Taxon_is_active","Refers_to_code","Project_taxon_notes","Taxon_notes","<>","LEWI","MORA","NOCA","OLYM","SAJH"
"BWTE","Anas discors","Blue-winged Teal","Blue-winged Teal","Same",57,175086,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"CAAU","Ptychoramphus aleuticus","Cassin’s Auklet","Cassin’s Auklet","Same",592,177013,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"CACG","Branta hutchinsii","Cackling Goose","Cackling Goose","Same",33,714068,714068,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"CAFI","Haemorhous cassinii","Cassin’s Finch","Cassin’s Finch","Same",1831,997804,,"Bird","Fringillidae","Specific",1,,"Genus changed from Carpodacus, definition of taxon consistent",,,1,1,1,1,1
"CAGU","Larus californicus","California Gull","California Gull","Same",622,176829,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"CAHU","Selasphorus calliope","Calliope Hummingbird","Calliope Hummingbird","Same",376,,,"Bird","Trochilidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178048), taxon definition consistent",,,1,1,1,1,1
"CAJA","Perisoreus canadensis","Gray Jay","Canada Jay","Different",1427,179667,,"Bird","Corvidae","Specific",1,,"April 2020: Updated Species_code (GRAJ) and Comman_name (Gray Jay) base on 59th supplement of American ornithological society",,,1,1,1,1,1
"CANG","Branta canadensis","Canada Goose","Canada Goose","Same",37,174999,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"CANV","Aythya valisineria","Canvasback","Canvasback","Same",78,175129,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"CANW","Catherpes mexicanus","Canyon Wren","Canyon Wren","Same",1524,178610,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"CAQU","Callipepla californica","California Quail","California Quail","Same",131,175876,,"Bird","Odontophoridae","Specific",1,,,,,1,1,1,1,1
"CASJ","Aphelocoma californica","California Scrub-Jay","California Scrub-Jay","Same",1448,554128,,"Bird","Corvidae","Specific",1,,"Mar 2017: Code and common name updated to reflect common name change from Western Scrub Jay due to splitting off taxa from other regions",,,1,1,1,1,1
"CATE","Hydroprogne caspia","Caspian Tern","Caspian Tern","Same",649,176935,,"Bird","Laridae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 176924), taxon definition consistent",,,1,1,1,1,1
"CAVI","Vireo cassinii","Cassin's Vireo","Cassin's Vireo","Same",1416,554456,,"Bird","Vireonidae","Specific",1,,,,,1,1,1,1,1
"CBCH","Poecile rufescens","Chestnut-backed Chickadee","Chestnut-backed Chickadee","Same",1505,554387,,"Bird","Paridae","Specific",1,,,,,1,1,1,1,1
"CCSP","Spizella pallida","Clay-colored Sparrow","Clay-colored Sparrow","Same",1895,179439,,"Bird","Fringillidae","Specific",1,,,,,,,,,1
"CEDW","Bombycilla cedrorum","Cedar Waxwing","Cedar Waxwing","Same",1717,178532,,"Bird","Bombycillidae","Specific",1,,,,,1,1,1,1,1
"CHSP","Spizella passerina","Chipping Sparrow","Chipping Sparrow","Same",1894,179435,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"CITE","Anas cyanoptera","Cinnamon Teal","Cinnamon Teal","Same",59,175089,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"CLNU","Nucifraga columbiana","Clark’s Nutcracker","Clark’s Nutcracker","Same",1453,179750,,"Bird","Corvidae","Specific",1,,,,,1,1,1,1,1
"CLSW","Petrochelidon pyrrhonota","Cliff Swallow","Cliff Swallow","Same",1497,178455,,"Bird","Hirundinidae","Specific",1,,,,,1,1,1,1,1
"COHA","Accipiter cooperii","Cooper’s Hawk","Cooper’s Hawk","Same",833,175309,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"COLO","Gavia immer","Common Loon","Common Loon","Same",670,174469,,"Bird","Gaviidae","Specific",1,,,,,1,1,1,1,1
"COME","Mergus merganser","Common Merganser","Common Merganser","Same",103,175185,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"COMU","Uria aalge","Common Murre","Common Murre","Same",579,176974,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"CONI","Chordeiles minor","Common Nighthawk","Common Nighthawk","Same",256,177979,,"Bird","Caprimulgidae","Specific",1,,,,,1,1,1,1,1
"CORA","Corvus corax","Common Raven","Common Raven","Same",1471,179725,,"Bird","Corvidae","Specific",1,,,,,1,1,1,1,1
"COSN","Gallinago gallinago","Common Snipe","Wilson's Snipe","Different",551,176700,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
