"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"NOCA","6/17/2020","BLSW","Cypseloides niger","Black Swift","Apodidae",282,"Ray_Katelyn","Bridge Creek",,4328,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","BRCR","Certhia americana","Brown Creeper","Certhiidae",1520,"Holmgren_Mandy","Stehekin",,4363,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","BTPI","Patagioenas fasciata","Band-tailed Pigeon","Columbidae",183,"Lane_Fanter","Newhalem",,4323,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","BTYW","Setophaga nigrescens","Black-throated Gray Warbler","Fringillidae",2122,"Lane_Fanter","Newhalem",,4386,"A","04/27/2021 15:30"
2020,"NOCA","6/20/2020","BUOR","Icterus bullockii","Bullock's Oriole","Fringillidae",2020,"Holmgren_Mandy","Stehekin",,4404,"A","04/27/2021 15:30"
2020,"NOCA","7/7/2020","CAFI","Haemorhous cassinii","Cassin’s Finch","Fringillidae",1831,"Lane_Fanter","Desolation Peak",,4408,"A","04/27/2021 15:30"
2020,"NOCA","7/12/2020","CAHU","Selasphorus calliope","Calliope Hummingbird","Trochilidae",376,"Hamm_Kelsey","Juanita Lake",,4330,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","CAJA","Perisoreus canadensis","Gray Jay","Corvidae",1427,"Lane_Fanter","Copper Lake",,4350,"A","04/27/2021 15:30"
2020,"NOCA","6/2/2020","CANG","Branta canadensis","Canada Goose","Anatidae",37,"Lane_Fanter","Diablo",,4229,"A","04/27/2021 15:30"
2020,"NOCA","6/14/2020","CANW","Catherpes mexicanus","Canyon Wren","Certhiidae",1524,"Holmgren_Mandy","Stehekin",,4365,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","CAVI","Vireo cassinii","Cassin's Vireo","Vireonidae",1416,"Holmgren_Mandy","Rainbow Point",,4347,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","CBCH","Poecile rufescens","Chestnut-backed Chickadee","Paridae",1505,"Holmgren_Mandy","Stehekin",,4361,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","CEDW","Bombycilla cedrorum","Cedar Waxwing","Bombycillidae",1717,"Lane_Fanter","Newhalem",,4381,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","CHSP","Spizella passerina","Chipping Sparrow","Fringillidae",1894,"Holmgren_Mandy","Stehekin",,4394,"A","04/27/2021 15:30"
2020,"NOCA","7/12/2020","CLNU","Nucifraga columbiana","Clark’s Nutcracker","Corvidae",1453,"Lane_Fanter","Juanita Lake",,4352,"A","04/27/2021 15:30"
2020,"NOCA","6/4/2020","CLSW","Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae",1497,"Lane_Fanter","Thunder Creek",,4358,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","COHA","Accipiter cooperii","Cooper’s Hawk","Accipitridae",833,"Hamm_Kelsey","Newhalem",,4238,"A","04/27/2021 15:30"
